collectionday,propnum,nextwaste,nextrecycle,nextgreen,address
Wednesday 1,2039155,01-08-2018,01-08-2018,08-08-2018,10 Oakbank Drive MOUNT HELEN  VIC  3350
Monday 1,2039156,30-07-2018,30-07-2018,06-08-2018,3 Garden Court LAKE GARDENS  VIC  3355
Monday 1,2039157,30-07-2018,30-07-2018,06-08-2018,13 Garden Court LAKE GARDENS  VIC  3355
Monday 1,2039158,30-07-2018,30-07-2018,06-08-2018,12 Garden Court LAKE GARDENS  VIC  3355
Wednesday 1,2039159,01-08-2018,01-08-2018,08-08-2018,6 Boak Avenue MOUNT HELEN  VIC  3350
Monday 1,2039160,30-07-2018,30-07-2018,06-08-2018,171 Gillies Street North LAKE GARDENS  VIC  3355
Monday 1,2039161,30-07-2018,30-07-2018,06-08-2018,175 Gillies Street North LAKE GARDENS  VIC  3355
Monday 1,2039162,30-07-2018,30-07-2018,06-08-2018,177 Gillies Street North LAKE GARDENS  VIC  3355
Tuesday 1,2039163,31-07-2018,31-07-2018,07-08-2018,11 Cheviot Court ALFREDTON  VIC  3350
Wednesday 2,2039164,01-08-2018,08-08-2018,01-08-2018,6 Greglyn Court MOUNT CLEAR  VIC  3350
Wednesday 2,2039165,01-08-2018,08-08-2018,01-08-2018,2 Greglyn Court MOUNT CLEAR  VIC  3350
Tuesday 2,2039166,31-07-2018,07-08-2018,31-07-2018,2/1305 Gregory Street LAKE WENDOUREE  VIC  3350
Thursday 2,2039168,26-07-2018,26-07-2018,02-08-2018,716 Morres Street BROWN HILL  VIC  3350
Tuesday 1,2039170,31-07-2018,31-07-2018,07-08-2018,2 Samuel Court ALFREDTON  VIC  3350
Tuesday 1,2039172,31-07-2018,31-07-2018,07-08-2018,10 Lawrie Drive ALFREDTON  VIC  3350
Tuesday 1,2039173,31-07-2018,31-07-2018,07-08-2018,16 Lawrie Drive ALFREDTON  VIC  3350
Tuesday 1,2039175,31-07-2018,31-07-2018,07-08-2018,21 Parkview Drive ALFREDTON  VIC  3350
Tuesday 1,2039177,31-07-2018,31-07-2018,07-08-2018,1 Samuel Court ALFREDTON  VIC  3350
Thursday 1,2039178,26-07-2018,02-08-2018,,2/15 Steinfeld Street North BAKERY HILL  VIC  3350
Thursday 1,2039179,26-07-2018,02-08-2018,,2A James Street GOLDEN POINT  VIC  3350
Monday 1,2039180,30-07-2018,30-07-2018,06-08-2018,1 St Glens Way LAKE GARDENS  VIC  3355
Monday 1,2039181,30-07-2018,30-07-2018,06-08-2018,24 St Glens Way LAKE GARDENS  VIC  3355
